game,rl_player,rl_team,winner,turns,capped,score_a,score_b,total_reward,avg_reward_recent,win_rate_recent,policy_loss,entropy,avg_selected_action_prob,grad_norm,weight_delta_norm,learning_rate,epsilon,temperature,decisions,explored_actions,sampled_actions,greedy_actions,checkpoint_path,eval_win_rate,eval_avg_reward,warning
805,0,A,A,385,False,8,7,489.5359375,-118.40934375,0.39,1.9172828197479248,0.6603496670722961,0.5652520225687504,41.17137506542648,0.0003209805480326778,1e-05,0.1,1.0,37,6,31,0,,,,
806,1,B,A,383,False,8,7,-517.7484375,-128.921578125,0.38,16.150867462158203,0.524546205997467,0.6414199674346512,37.40588657847318,0.0002907800651432421,1e-05,0.1,1.0,44,6,38,0,,,,
807,2,A,B,345,False,7,8,-501.9359375,-139.10839062500003,0.37,5.9572343826293945,0.4871060252189636,0.7100708152178082,30.046420786596883,0.00026274353593725043,1e-05,0.1,1.0,44,3,41,0,,,,
808,3,B,B,337,False,7,8,504.6765625,-139.071625,0.37,10.088515281677246,0.41027116775512695,0.736472696970433,30.14608793538561,0.0002459343261608336,1e-05,0.1,1.0,36,2,34,0,,,,
809,0,A,A,380,False,8,6,486.50624999999997,-128.6833671875,0.38,-49.319122314453125,0.5848203897476196,0.5812221620506449,85.6492108994346,0.0002476509159948332,1e-05,0.1,1.0,53,10,43,0,,,,
810,1,B,B,219,False,5,8,533.7046875,-128.53538281250002,0.38,11.205188751220703,0.3966084420681,0.5733747181101618,33.0620747961357,0.0002204795321355796,1e-05,0.1,1.0,22,2,20,0,,,,
811,2,A,A,352,False,8,7,487.85781249999997,-118.34018750000001,0.39,20.820024490356445,0.5293567776679993,0.6465278907486688,59.02515922693054,0.0002716511109324128,1e-05,0.1,1.0,53,4,49,0,,,,
812,3,B,A,372,False,8,7,-489.35781249999997,-128.27631250000002,0.38,-14.572484016418457,0.4777194559574127,0.6208421537968698,78.8734851499413,0.00028254357501256155,1e-05,0.1,1.0,45,6,39,0,,,,
813,0,A,A,380,False,8,6,502.6515625,-128.343359375,0.38,-35.44384002685547,0.2516884505748749,0.8214941630949792,58.78212115585558,0.0002751420938841576,1e-05,0.1,1.0,46,5,41,0,,,,
814,1,B,A,213,False,8,5,-486.67109375,-128.00314843750002,0.38,14.753289222717285,0.4490874707698822,0.6145947778683976,31.368653615371123,0.00025330254147566705,1e-05,0.1,1.0,24,4,20,0,,,,
